"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 5","W4Efsd 6"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/BeCharter+Mallorca/...","BeCharter Mallorca","3.8","(43)","Boat rental service","·","Avinguda de Gabriel Roca, 37, Local C","·","639 63 11 49","https://www.becharter.com/","","Website","","Directions","","","",""
"","Islander Charter Mallorca","5.0","(127)","Boat rental service","","Muelle Pelaires, Club de Mar s/n","","672 68 43 45","https://islandercharter.com/","","","","","","","",""
"","Heaven Mallorca Charter","4.9","(532)","Boat rental service","","Muelle Pelaires, s/n","","669 85 10 05","https://heavenmallorca.com/","","","","","","","",""
"","Llaüt Charter","5.0","(7)","Boat rental service","","Club de Mar","","669 78 92 46","https://www.llautcharter.com/","","","","","","","",""
"","Palma Boats","4.8","(33)","Boat rental service","","Club de Mar s/n, Muelle Pelaires","","699 75 53 06","http://www.palma-boats.com/","","","","","","","",""
"","Bon Charter","5.0","(101)","Boat rental service","","Club de Mar Muelle de Pelaires s/n","","681 90 75 77","https://www.boncharter.com/","","","","","","","",""
"","Almar Baleares Charter","4.6","(28)","Boat rental service","","Calle Club de Mar MUELLE PELAIRES, 0","","687 58 29 76","http://www.almarbaleares.com/","","","","","","","",""
"","Zatara Mar - Yacht Charter - PuraVida","4.8","(79)","Boat rental service","","Club de Mar, Muelle Pelaires","","711 01 34 03","https://boatcharter.zatara.es/en/boat/puravida-motoryacht-majorca-spain-club-de-mar/","","","","","","","",""
"","Mallorca Global Charter","5.0","(57)","Boat rental service","","","","676 00 48 28","https://mallorcaglobalcharter.com/","","","","","","","",""
"","Yates Mallorca Charter","4.7","(53)","Boat rental service","","Marina La Lonja","","971 70 73 97","http://yates-mallorca-charter.com/","","","","","","","",""
"","La Lonja Marina Charter","4.4","(2098)","Marina","","Muelle de la lonja, s/n","","634 27 98 90","http://www.lalonjamarinacharter.com/","","","","","","","",""
"","Gaff Charter Mallorca","5.0","(27)","Boat rental service","","CLUB DE MAR","","680 19 30 06","http://www.gaffcharter-mallorca.com/","","","","","","","",""
"","MALLORCA CHARTER & SERVICES","5.0","(1)","Boat rental service","","CL MUELLE PELAIRES S/N","","646 35 69 33","http://mcspalma.com/","","","","","","","",""
"","Boat rental Palma On Charter","5.0","(115)","Boat rental service","","Marina Palma Cuarentena","","653 46 48 96","http://www.onchartermallorca.com/","","","","","","","",""
"","Moya Charter","5.0","(7)","Boat rental service","","Muelle Pelaires, Club de Mar s/n","","+49 1511 7641032","https://www.moya-charter.com/","","","","","","","",""
"","Js Boat Charter","4.5","(8)","Boat rental service","","","","645 31 96 89","https://jsboatcharter.com/","","","","","","","",""
"","Top Wave Boat Charter","5.0","(6)","Boat rental service","","Muelle Pelaires, s/n","","622 59 85 47","http://www.topwaveboatcharter.com/","","","","","","","",""
