"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","UsdlK","lcr4fd href"
"","EasyCharter.es","5.0","(40)","Boat rental service","","Carrer Benito Jerónimo Feijóo, 11","636 08 21 44","https://www.easycharter.es/"
"","Puerto Portals Charters","5.0","(2)","Boat rental service","","Carrer Capitania","622 31 08 03","http://puertoportalscharters.com/"
"","Ocean Dreams Mallorca","4.7","(42)","Boat rental service","","","619 21 22 61","https://www.oceandreamsmallorca.com/"
"","Sun Sea Charter","4.6","(215)","Boat rental service","","Vía de la cruz, 46","645 41 26 43","http://www.sunseacharter.com/"
"","Elegant Yachts","5.0","(2)","Yacht broker","","Puerto Portals, Local 74","","https://www.elegantyachtscharter.com/"
"","Yacht Fun","4.9","(9)","Boat rental service","","Passeig Illetes, 6","684 41 66 19","https://yacht.fun/contact"
"","Bestboats Yachtcharter","4.3","(181)","Boat rental service","","Carrer Platja","971 57 37 73","http://www.bestboats-yachtcharter.com/"
"","Makin' Waves Yacht Charters","4.7","(12)","Boat rental service","","Plaça de Portals","634 34 47 67","https://www.makinwavescharters.com/"
"","Boat Rental Mallorca – Boat Hire & Yacht Charter","5.0","(3)","Boat tour agency","","Puerto Portals, 48","662 10 17 18","https://boatrentalmallorca.net/"
"","Samaric - Motor Yacht Charter Mallorca","3.8","(4)","Yacht broker","","","+44 7767 260287","http://www.motoryachtchartermallorca.com/"
"","Boleor Boat Charter Can Pastilla - Captain Balear","","","Boat rental service","","Carrer de Bellamar, 22","633 63 32 48","http://captain-balear.com/"
"","Online Charter - Yachtcharter auf Mallorca","4.9","(21)","Boat rental service","","Carrer Balandre, 1","+49 175 8555372","https://www.online-charter.com/"
"","Aura Yacht and Private Jet Charter","","","Boat rental service","","Residencias Mardavall","660 67 40 47","http://aura-lifestyle.co.uk/"
"","Yachting Events Luxury Yacht charter","5.0","(1)","Yacht charter","","Carrer Punta Marroig, 3","627 20 76 91","https://www.sail-event-consult.de/"
"","SkyRay Charters","","","Boat rental service","","Carrer de Llucmajor, 50, Local 1","","https://skyraycharter.com/"
